name,callDt,callLog,duration,durationMinutes,callYear,callMonth,callDay
Parents,07 Dec. 2017 22:26,Received,00:01:45,2,2017,12,7
Parents,07 Dec. 2017 22:28,Dialed,00:00:00,0,2017,12,7
Parents,07 Dec. 2017 22:29,Dialed,00:02:39,3,2017,12,7
Parents,07 Dec. 2017 22:32,Dialed,00:00:00,0,2017,12,7
Parents,07 Dec. 2017 22:33,Dialed,00:23:48,24,2017,12,7
Parents,08 Dec. 2017 7:56,Received,00:00:43,1,2017,12,8
Friends,08 Dec. 2017 8:33,Missed,00:00:00,0,2017,12,8
Parents,14 Dec. 2017 5:56,Missed,00:00:00,0,2017,12,14
Parents,14 Dec. 2017 5:57,Dialed,00:01:07,1,2017,12,14
Parents,14 Dec. 2017 11:53,Missed,00:00:00,0,2017,12,14
Parents,15 Dec. 2017 11:47,Missed,00:00:00,0,2017,12,15
Parents,15 Dec. 2017 13:14,Dialed,00:20:07,20,2017,12,15
Parents,16 Dec. 2017 14:37,Dialed,00:10:07,10,2017,12,16
Parents,16 Dec. 2017 20:19,Dialed,02:02:12,122,2017,12,16
Parents,17 Dec. 2017 19:03,Dialed,00:02:41,3,2017,12,17
Parents,19 Dec. 2017 12:35,Received,00:00:31,1,2017,12,19
Parents,19 Dec. 2017 12:36,Received,00:00:07,0,2017,12,19
Parents,19 Dec. 2017 12:37,Dialed,00:11:43,12,2017,12,19
Friends,20 Dec. 2017 5:57,Received,00:01:18,1,2017,12,20
Friends,20 Dec. 2017 6:27,Received,00:01:37,2,2017,12,20
Parents,21 Dec. 2017 12:24,Received,00:00:53,1,2017,12,21
Parents,21 Dec. 2017 14:44,Dialed,00:04:47,5,2017,12,21
Parents,23 Dec. 2017 14:17,Dialed,00:03:06,3,2017,12,23
Parents,23 Dec. 2017 14:21,Dialed,00:03:16,3,2017,12,23
Friends,23 Dec. 2017 15:07,Received,00:01:59,2,2017,12,23
Friends,25 Dec. 2017 15:09,Dialed,00:02:35,3,2017,12,25
Parents,25 Dec. 2017 17:50,Missed,00:00:00,0,2017,12,25
Parents,25 Dec. 2017 18:02,Dialed,00:00:15,0,2017,12,25
Parents,27 Dec. 2017 17:06,Received,00:01:23,1,2017,12,27
Parents,29 Dec. 2017 19:17,Dialed,00:00:09,0,2017,12,29
Parents,31 Dec. 2017 16:45,Dialed,00:00:08,0,2017,12,31
Parents,31 Dec. 2017 16:52,Dialed,00:01:06,1,2017,12,31
Friends,31 Dec. 2017 19:47,Dialed,00:00:19,0,2017,12,31
Parents,01 Jan. 2018 23:21,Received,00:00:27,0,2018,1,1
Parents,02 Jan. 2018 13:19,Dialed,00:00:56,1,2018,1,2
Parents,03 Jan. 2018 14:19,Dialed,00:00:45,1,2018,1,3
Parents,04 Jan. 2018 17:57,Missed,00:00:00,0,2018,1,4
Parents,04 Jan. 2018 20:00,Dialed,00:01:02,1,2018,1,4
Parents,09 Jan. 2018 19:46,Dialed,00:01:03,1,2018,1,9
Parents,09 Jan. 2018 19:50,Received,00:00:46,1,2018,1,9
Parents,09 Jan. 2018 19:52,Dialed,00:01:44,2,2018,1,9
Parents,09 Jan. 2018 19:54,Dialed,00:00:36,1,2018,1,9
