name,callLog,durationMinutes,callYear,callMonth,callDay,callTime,callTimeMinute
Parents,Received,29,2017,12,7,22:26:00,1346
Parents,Received,1,2017,12,8,7:56:00,476
Parents,Missed,0,2017,12,14,5:56:00,356
Parents,Dialed,1,2017,12,14,5:57:00,357
Parents,Missed,0,2017,12,14,11:53:00,713
Parents,Missed,0,2017,12,15,11:47:00,707
Parents,Dialed,20,2017,12,15,13:14:00,794
Parents,Dialed,10,2017,12,16,14:37:00,877
Parents,Dialed,122,2017,12,16,20:19:00,1219
Parents,Dialed,3,2017,12,17,19:03:00,1143
Parents,Received,14,2017,12,19,12:35:00,755
Parents,Received,1,2017,12,21,12:24:00,744
Parents,Dialed,5,2017,12,21,14:44:00,884
Parents,Dialed,6,2017,12,23,14:17:00,857
Parents,Missed,0,2017,12,25,17:50:00,1070
Parents,Dialed,0,2017,12,25,18:02:00,1082
Parents,Received,1,2017,12,27,17:06:00,1026
Parents,Dialed,0,2017,12,29,19:17:00,1157
Parents,Dialed,0,2017,12,31,16:45:00,1005
Parents,Dialed,1,2017,12,31,16:52:00,1012
Parents,Received,1,2018,1,1,23:21:00,1401
Parents,Dialed,1,2018,1,2,13:19:00,799
Parents,Dialed,1,2018,1,3,14:19:00,859
Parents,Missed,0,2018,1,4,17:57:00,1077
Parents,Dialed,1,2018,1,4,20:00:00,1200
Parents,Dialed,1,2018,1,9,19:46:00,1186
Parents,Received,50,2018,1,9,19:50:00,1190
Parents,Received,29,2018,1,13,15:17:00,917
Parents,Dialed,43,2018,1,14,15:52:00,952
Parents,Dialed,44,2018,1,19,21:57:00,1317
Parents,Dialed,1,2018,1,21,13:44:00,824
Parents,Dialed,41,2018,1,22,17:18:00,1038
Parents,Dialed,19,2018,1,23,19:12:00,1152
Parents,Dialed,0,2018,1,26,16:03:00,963
Parents,Dialed,40,2018,1,26,19:05:00,1145
Parents,Dialed,27,2018,1,27,16:16:00,976
Parents,Dialed,14,2018,1,29,10:58:00,658
Parents,Received,24,2018,1,31,19:59:00,1199
Parents,Received,33,2018,2,2,20:10:00,1210
Parents,Dialed,61,2018,2,11,14:23:00,863
Parents,Received,15,2018,2,17,13:38:00,818
Parents,Dialed,7,2018,2,19,15:05:00,905
Parents,Received,33,2018,2,22,19:47:00,1187
Parents,Received,26,2018,3,8,18:05:00,1085
Parents,Missed,0,2018,3,10,13:24:00,804
Parents,Dialed,33,2018,3,10,14:32:00,872
Parents,Dialed,33,2018,3,11,13:56:00,836
Parents,Dialed,27,2018,3,12,15:35:00,935
Parents,Dialed,39,2018,3,21,23:12:00,1392
Parents,Dialed,109,2018,3,23,21:01:00,1261
Parents,Dialed,31,2018,3,25,14:19:00,859
Parents,Missed,0,2018,3,26,21:21:00,1281
Parents,Dialed,66,2018,3,26,22:18:00,1338
Parents,Received,3,2018,3,31,13:04:00,784
Parents,Received,143,2018,3,31,17:40:00,1060
Grandparents,Dialed,15,2018,4,1,14:13:00,853
Parents,Missed,0,2018,4,2,12:14:00,734
Parents,Dialed,3,2018,4,2,12:48:00,768
Parents,Dialed,80,2018,4,8,13:20:00,800
Parents,Dialed,220,2018,4,13,19:55:00,1195
Parents,Dialed,12,2018,4,16,15:28:00,928
Parents,Dialed,3,2018,4,18,12:18:00,738
Parents,Received,48,2018,4,18,22:35:00,1355
Parents,Received,14,2018,4,20,16:17:00,977
Parents,Received,18,2018,4,20,18:35:00,1115
Parents,Received,78,2018,4,21,11:58:00,718
Grandparents,Dialed,1,2018,4,21,14:20:00,860
Grandparents,Received,11,2018,4,21,20:23:00,1223
Parents,Dialed,0,2018,4,22,15:28:00,928
Parents,Received,51,2018,4,22,19:39:00,1179
Parents,Received,4,2018,4,23,12:37:00,757
Parents,Dialed,22,2018,4,23,16:29:00,989
Parents,Dialed,49,2018,4,24,19:22:00,1162
Parents,Dialed,26,2018,4,24,21:52:00,1312
Parents,Dialed,1,2018,4,27,17:30:00,1050
Parents,Received,6,2018,5,5,10:27:00,627
Parents,Dialed,10,2018,5,5,11:55:00,715
Parents,Missed,0,2018,5,6,18:42:00,1122
Parents,Dialed,1,2018,5,6,19:49:00,1189
Parents,Dialed,29,2018,5,7,17:50:00,1070
Parents,Dialed,36,2018,5,8,20:23:00,1223
Parents,Received,2,2018,5,8,21:13:00,1273
Parents,Dialed,23,2018,5,8,21:45:00,1305
Parents,Dialed,1,2018,5,10,17:20:00,1040
Parents,Dialed,31,2018,5,10,18:34:00,1114
Parents,Dialed,68,2018,5,11,22:25:00,1345
Parents,Dialed,33,2018,5,12,16:13:00,973
Parents,Missed,0,2018,5,12,18:14:00,1094
Parents,Missed,0,2018,5,12,21:37:00,1297
Parents,Dialed,0,2018,5,13,13:42:00,822
Parents,Dialed,0,2018,5,13,14:08:00,848
Parents,Dialed,0,2018,5,13,14:18:00,858
